"participant_id","musical_exp","v1","synth","rating"
277,1,2.6241,"harmonic",1
276,2,11.2662,"harmonic",4
276,2,9.0922,"harmonic",5
276,2,2.9798,"flute",7
277,1,10.9715,"harmonic",2
276,2,0.0824,"harmonic",7
276,2,13.0778,"flute",7
277,1,4.3758,"flute",3
279,20,10.0174,"harmonic",3
277,1,5.9408,"flute",2
279,20,14.4045,"harmonic",3
277,1,1.2002,"flute",2
277,1,13.9328,"flute",2
279,20,8.1669,"harmonic",5
276,2,6.037,"flute",5
276,2,7.4124,"harmonic",7
276,2,8.346,"flute",6
277,1,6.8931,"harmonic",5
276,2,13.2969,"harmonic",7
276,2,14.327,"flute",6
276,2,12.8485,"harmonic",7
276,2,9.307,"harmonic",5
276,2,8.3502,"harmonic",6
277,1,1.3933,"flute",2
277,1,13.0303,"flute",3
276,2,6.148,"flute",7
277,1,13.5456,"harmonic",1
277,1,8.4658,"flute",3
279,20,13.8794,"flute",3
276,2,1.1062,"flute",5
276,2,11.5956,"harmonic",6
276,2,1.8032,"harmonic",7
276,2,10.2669,"flute",5
276,2,6.8549,"harmonic",7
276,2,5.5956,"harmonic",5
277,1,6.1654,"harmonic",1
277,1,9.3797,"harmonic",1
276,2,3.0085,"harmonic",7
276,2,7.1007,"harmonic",7
276,2,3.8706,"flute",6
277,1,7.4925,"harmonic",1
277,1,5.0181,"harmonic",5
277,1,6.0832,"flute",3
277,1,6.7904,"flute",3
276,2,4.3293,"harmonic",4
276,2,10.0719,"flute",6
276,2,9.4014,"harmonic",5
277,1,13.319,"harmonic",1
276,2,11.4962,"flute",6
277,1,13.2893,"harmonic",1
276,2,2.0376,"harmonic",5
276,2,2.5751,"harmonic",5
277,1,11.6506,"flute",2
277,1,10.5067,"flute",3
276,2,13.9617,"flute",6
277,1,4.9647,"flute",5
279,20,7.2727,"harmonic",3
277,1,10.0652,"flute",3
277,1,1.7369,"flute",2
276,2,11.2783,"harmonic",7
277,1,8.0431,"flute",5
277,1,4.9651,"flute",6
279,20,0.7837,"flute",1
277,1,9.7567,"flute",3
277,1,14.9998,"harmonic",2
279,20,11.5862,"flute",3
279,20,8.8851,"flute",5
279,20,6.3088,"harmonic",2
277,1,10.546,"harmonic",2
277,1,0.4254,"harmonic",2
276,2,7.778,"flute",7
277,1,7.094,"harmonic",5
277,1,3.5891,"flute",3
277,1,12.6119,"harmonic",1
277,1,3.0674,"harmonic",2
279,20,7.587,"harmonic",2
277,1,11.2988,"flute",2
279,20,1.6001,"harmonic",2
277,1,3.3957,"harmonic",3
279,20,6.1565,"flute",6
277,1,10.1887,"flute",3
279,20,3.2496,"harmonic",3
277,1,13.4402,"flute",2
277,1,1.7642,"harmonic",2
277,1,1.5338,"flute",3
277,1,14.4646,"flute",3
277,1,5.4613,"harmonic",2
277,1,12.8393,"flute",2
279,20,5.7885,"harmonic",2
279,20,1.8574,"flute",4
