"participant_id","musical_exp","v1","synth","rating"
147,0,10.0098,"piano",5
148,1,3.7456,"harmonic",3
182,6,0.3707,"piano",1
117,10,0.0089,"harmonic",5
101,6,10.6068,"harmonic",5
140,0,5.3056,"piano",2
120,0,12.0031,"piano",6
117,10,13.128,"harmonic",3
120,0,6.9461,"piano",6
117,10,7.9651,"piano",6
101,6,5.171,"piano",5
120,0,7.6736,"piano",6
120,0,10.9318,"harmonic",3
120,0,9.7256,"piano",7
118,0,9.2618,"piano",4
117,10,3.4605,"harmonic",5
118,0,3.149,"harmonic",2
137,7,12.9376,"piano",5
118,0,4.9359,"piano",4
140,0,9.8095,"harmonic",4
120,0,7.5996,"piano",6
143,0,1.8957,"piano",7
139,5,11.9786,"harmonic",5
139,5,6.1863,"harmonic",2
149,3,13.9787,"piano",3
151,0,10.0617,"harmonic",5
149,3,10.5733,"harmonic",1
149,3,10.6984,"piano",3
151,0,3.0384,"harmonic",2
140,0,10.1146,"piano",3
120,0,2.9681,"piano",7
101,6,2.2222,"piano",5
139,5,0.6035,"harmonic",2
139,5,6.5135,"harmonic",1
139,5,5.7504,"harmonic",2
139,5,4.9581,"piano",6
139,5,10.7082,"piano",2
139,5,2.7614,"piano",5
139,5,12.6763,"harmonic",3
148,1,3.4068,"piano",6
143,0,12.7576,"piano",3
147,0,10.1217,"piano",3
147,0,6.7888,"harmonic",5
140,0,3.8684,"harmonic",1
120,0,4.2283,"harmonic",2
140,0,9.0522,"piano",5
120,0,12.0224,"piano",6
139,5,12.8963,"harmonic",2
101,6,12.1414,"harmonic",5
120,0,12.5753,"piano",6
118,0,14.9207,"harmonic",2
139,5,6.8186,"harmonic",6
140,0,7.8585,"harmonic",3
140,0,2.2222,"harmonic",3
145,1,13.4475,"piano",1
149,3,0.9369,"piano",1
118,0,10.3245,"piano",3
118,0,8.9328,"piano",5
137,7,5.7617,"piano",3
140,0,8.782,"harmonic",3
140,0,12.0533,"piano",6
148,1,1.8632,"piano",6
140,0,2.1046,"piano",3
148,1,14.382,"harmonic",1
140,0,12.4556,"harmonic",2
149,3,4.282,"harmonic",3
143,0,3.3931,"harmonic",1
148,1,3.3918,"harmonic",2
148,1,1.325,"harmonic",3
148,1,10.3136,"harmonic",3
149,3,1.5729,"piano",2
148,1,11.5916,"harmonic",1
139,5,5.4105,"harmonic",1
137,7,6.6494,"harmonic",2
140,0,5.6375,"piano",4
140,0,12.0512,"harmonic",1
140,0,14.0225,"harmonic",3
140,0,8.945,"harmonic",3
139,5,10.854,"harmonic",2
140,0,2.0829,"piano",4
143,0,12.3021,"piano",5
139,5,0.6808,"piano",3
140,0,8.1959,"piano",4
151,0,10.1807,"harmonic",3
151,0,9.4821,"harmonic",2
120,0,14.5092,"harmonic",2
140,0,13.5456,"harmonic",3
118,0,7.3256,"piano",3
120,0,4.6158,"harmonic",3
140,0,6.5884,"piano",5
148,1,11.4655,"piano",5
139,5,3.1223,"harmonic",3
147,0,4.7736,"harmonic",3
148,1,12.2681,"harmonic",1
140,0,2.8053,"harmonic",2
147,0,4.5823,"piano",3
140,0,0.8763,"harmonic",2
147,0,10.9801,"piano",3
182,6,3.9114,"harmonic",4
148,1,12.8974,"harmonic",2
140,0,6.1745,"piano",5
120,0,7.2197,"piano",6
235,1,10.9812,"piano",5
101,6,12.2283,"harmonic",5
139,5,1.8003,"harmonic",3
140,0,13.0087,"piano",5
139,5,0.2841,"harmonic",6
143,0,5.2677,"piano",5
143,0,13.3733,"piano",5
139,5,7.0519,"piano",7
139,5,0.0573,"piano",6
140,0,4.4145,"harmonic",3
143,0,6.8423,"piano",6
139,5,3.6168,"piano",6
118,0,6.5438,"harmonic",2
139,5,12.9148,"piano",3
140,0,10.0791,"harmonic",2
140,0,2.5878,"harmonic",3
140,0,4.8121,"piano",5
140,0,10.5187,"harmonic",3
139,5,6.4445,"harmonic",3
140,0,11.0763,"piano",4
148,1,9.6591,"piano",5
139,5,1.4093,"piano",3
139,5,2.8128,"piano",6
120,0,0.6697,"harmonic",3
120,0,0.0824,"piano",6
120,0,11.5387,"piano",6
123,1,8.1353,"harmonic",2
120,0,4.2822,"piano",6
124,0,9.8966,"harmonic",3
118,0,1.9057,"harmonic",1
118,0,13.5554,"piano",5
120,0,10.2124,"piano",7
124,0,1.4903,"piano",3
120,0,13.7478,"piano",7
101,6,1.8259,"harmonic",5
124,0,0.3587,"piano",3
101,6,0.2596,"piano",5
124,0,12.4531,"piano",5
118,0,9.7851,"piano",2
123,1,5.2234,"harmonic",3
82,2,14.2344,"piano",5
120,0,11.0739,"piano",7
182,6,9.2806,"harmonic",2
82,2,10.2134,"piano",3
124,0,5.5074,"harmonic",1
124,0,9.2311,"harmonic",2
120,0,11.8395,"piano",7
123,1,13.3267,"piano",6
82,2,13.7569,"piano",5
123,1,10.1855,"piano",3
118,0,12.1627,"harmonic",1
82,2,14.4883,"harmonic",3
101,6,7.5007,"piano",5
118,0,11.5907,"harmonic",3
120,0,4.3782,"piano",6
124,0,14.1454,"harmonic",1
124,0,12.4119,"harmonic",1
124,0,1.9509,"piano",4
140,0,14.2478,"harmonic",3
